"provincia","seccion","hoja","n_esperados","n_presentes","n_faltantes","n_ajenos","faltantes","ajenos"
"Cartama","08_Educacion","_mapa08_cobertura_neta",11,11,0,0,"",""
"Cartama","09_Salud","bajo_peso",11,11,0,0,"",""
"Cartama","09_Salud","enfermedades_tropicales",11,11,0,0,"",""
"Cartama","09_Salud","suicidios",11,11,0,0,"",""
"Cartama","09_Salud","aseguramiento_sgsss",11,11,0,0,"",""
"Cartama","09_Salud","mortalidad_infantil",11,11,0,0,"",""
"Cartama","09_Salud","_mapa09_mortalidad_infantil",11,11,0,0,"",""
"Cartama","10_Seguridad","coca",11,0,11,0,"5145 5282 5368 5390 5467 5576 5679 5789 5792 5856 5861",""
"Cartama","10_Seguridad","evoa",11,0,11,0,"5145 5282 5368 5390 5467 5576 5679 5789 5792 5856 5861",""
"Cartama","10_Seguridad","delitos",11,11,0,0,"",""
"Cartama","10_Seguridad","total_victimas",11,11,0,0,"",""
"Cartama","10_Seguridad","srtdaf",11,11,0,0,"",""
"Cartama","10_Seguridad","tasas",11,11,0,0,"",""
"Cartama","10_Seguridad","irv",11,11,0,0,"",""
"Cartama","10_Seguridad","desaparecidos",11,11,0,0,"",""
"Cartama","10_Seguridad","_mapa10_homicidios",11,11,0,0,"",""
"De la Paz","01_Generalidades","distribucion_territorial",5,5,0,0,"",""
"De la Paz","01_Generalidades","_mapa01_area",5,5,0,0,"",""
"De la Paz","02_Demografia","poblacion",5,5,0,0,"",""
"De la Paz","02_Demografia","estructura_edad",5,5,0,0,"",""
"De la Paz","02_Demografia","natalidad_mortalidad",5,5,0,0,"",""
"De la Paz","02_Demografia","migracion",5,5,0,0,"",""
"De la Paz","02_Demografia","_mapa02_densidad",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","deficit_vivienda",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","servicios_publicos",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","vias_area",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","vias_habitantes",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","catastro",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","imca",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","gobierno_digital",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","tti_edsup",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","internet_2025",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","uso_suelo_rural",5,5,0,0,"",""
"De la Paz","03_Ordenamiento","_mapa03_deficit_vivienda",5,5,0,0,"",""
"De la Paz","04_Gobernabilidad","mdm",5,5,0,0,"",""
"De la Paz","04_Gobernabilidad","idf",5,5,0,0,"",""
"De la Paz","04_Gobernabilidad","ley617",5,5,0,0,"",""
"De la Paz","04_Gobernabilidad","icm",5,5,0,0,"",""
"De la Paz","05_Economia","extranjeros_municipio",5,5,0,0,"",""
